Serial (序号)	Idiom (成语)	Frequency (频率)	HSK level (HSK级别)
1:	先发制人	695	
2:	前所未有	323	4
3:	众所周知	273	4
4:	引人注目	253	4
5:	无论如何	208	
6:	坚定不移	182	
7:	理所当然	174	4
8:	千方百计	161	3
9:	当务之急	161	
10:	独立自主	153	4
11:	一意孤行	148	
12:	讨价还价	141	4
13:	显而易见	138	4
14:	韬光养晦	138	
15:	所作所为	135	
16:	史无前例	133	
17:	不可思议	131	
18:	实事求是	129	2
19:	一如既往	118	
20:	举足轻重	114	
21:	出人意料	107	
22:	成千上万	107	3
23:	相提并论	104	
24:	轩然大波	104	
25:	可想而知	103	4
26:	循序渐进	101	4
27:	十面埋伏	101	
28:	不以为然	98	
29:	不得而知	97	
30:	针锋相对	96	
31:	不约而同	93	
32:	全力以赴	93	4
33:	截然不同	92	
34:	源源不断	91	
35:	有目共睹	90	
36:	变本加厉	90	
37:	铤而走险	89	
38:	错综复杂	87	
39:	别有用心	87	
40:	速战速决	87	
41:	沸沸扬扬	87	
42:	突如其来	85	
43:	不言而喻	85	4
44:	不遗余力	84	
45:	一触即发	83	
46:	忧心忡忡	82	
47:	迫不及待	82	
48:	紧锣密鼓	80	
49:	耐人寻味	78	
50:	脱颖而出	78	
51:	咄咄逼人	77	
52:	一无所知	77	
53:	息息相关	77	
54:	举世瞩目	77	4
55:	不择手段	76	
56:	掉以轻心	76	
57:	想方设法	76	4
58:	意想不到	74	
59:	不得人心	73	
60:	层出不穷	72	4
61:	竭尽全力	72	
62:	肆无忌惮	72	
63:	来之不易	71	
64:	艰苦奋斗	71	
65:	与日俱增	71	
66:	大张旗鼓	70	
67:	有朝一日	70	
68:	长治久安	69	
69:	不合时宜	69	
70:	一举一动	68	
71:	顺理成章	68	
72:	首当其冲	68	
73:	迫在眉睫	66	
74:	取而代之	66	
75:	独一无二	66	
76:	拭目以待	65	
77:	训练有素	65	
78:	兵戎相见	64	
79:	小心翼翼	64	4
80:	一年一度	64	
81:	明目张胆	63	
82:	无可奈何	63	3
83:	口口声声	63	
84:	空穴来风	63	
85:	名副其实	63	4
86:	如意算盘	62	
87:	绳之以法	62	
88:	背道而驰	62	
89:	行之有效	62	
90:	卓有成效	62	
91:	甚嚣尘上	61	
92:	接二连三	61	4
93:	如火如荼	61	
94:	当家作主	61	
95:	推波助澜	61	
96:	微乎其微	61	
97:	万无一失	60	
98:	卷土重来	60	
99:	雪上加霜	60	
100:	无能为力	60	4
101:	不好意思	60	
102:	剑拔弩张	59	
103:	自力更生	59	4
104:	一席之地	59	
105:	自始至终	59	3
106:	悬崖勒马	58	
107:	十字路口	58	
108:	东山再起	56	
109:	大势所趋	56	
110:	一波三折	56	
111:	自欺欺人	55	
112:	此起彼伏	55	
113:	青天白日	55	
114:	求同存异	55	
115:	不堪设想	55	
116:	轻而易举	54	
117:	防不胜防	54	
118:	置之不理	54	
119:	自相矛盾	54	3
120:	扑朔迷离	54	
121:	信誓旦旦	53	
122:	根深蒂固	52	4
123:	突飞猛进	52	
124:	停滞不前	51	
125:	出乎意料	51	
126:	深思熟虑	51	
127:	恶性循环	51	
128:	欢欣鼓舞	51	
129:	为所欲为	51	
130:	直言不讳	51	
131:	左右逢源	51	
132:	不相上下	51	4
133:	突然袭击	51	
134:	水落石出	51	
135:	直截了当	50	
136:	耸人听闻	50	
137:	迫不得已	50	
138:	供不应求	50	4
139:	在所难免	50	
140:	严阵以待	50	
141:	大吃一惊	50	
142:	捉襟见肘	50	
143:	一针见血	50	
144:	一模一样	50	
145:	如出一辙	50	
146:	莫名其妙	49	4
147:	异口同声	49	
148:	刮目相看	49	
149:	无可厚非	49	
150:	归根结底	49	
151:	得不偿失	48	4
152:	津津乐道	48	
153:	日新月异	48	
154:	荡然无存	48	
155:	生死存亡	48	
156:	不失时机	48	
157:	焦头烂额	48	
158:	不足为奇	48	
159:	暴露无遗	47	
160:	轻举妄动	47	
161:	难以置信	47	
162:	议论纷纷	47	
163:	不了了之	47	
164:	铺天盖地	46	
165:	不知不觉	46	4
166:	悬而未决	46	
167:	视而不见	46	
168:	随心所欲	45	
169:	见义勇为	45	
170:	一目了然	45	
171:	花花公子	45	
172:	无中生有	45	
173:	措手不及	45	
174:	忍无可忍	45	
175:	袖手旁观	45	
176:	有条不紊	45	
177:	无动于衷	45	
178:	不可收拾	45	
179:	记忆犹新	45	
180:	子虚乌有	44	
181:	水到渠成	44	
182:	蠢蠢欲动	44	
183:	风云人物	44	
184:	无所作为	44	4
185:	迎刃而解	43	
186:	众说纷纭	43	
187:	罪魁祸首	43	
188:	风风雨雨	43	
189:	深入人心	43	
190:	自然而然	43	
191:	安居乐业	42	
192:	无独有偶	42	
193:	未雨绸缪	42	
194:	应运而生	42	
195:	理直气壮	42	4
196:	风云变幻	42	
197:	比比皆是	42	
198:	万众一心	42	
199:	匪夷所思	41	
200:	来龙去脉	41	
201:	惊心动魄	41	
202:	全军覆没	41	
203:	淋漓尽致	41	
204:	如愿以偿	41	
205:	何去何从	41	
206:	遥遥无期	41	
207:	不折不扣	41	
208:	危言耸听	41	
209:	有恃无恐	41	
210:	执迷不悟	40	
211:	出尔反尔	40	
212:	三位一体	40	
213:	刻不容缓	40	
214:	梦寐以求	40	
215:	虎视眈眈	40	
216:	轰轰烈烈	40	
217:	大惊小怪	40	
218:	耿耿于怀	40	
219:	一脉相承	40	
220:	马不停蹄	39	
221:	敲诈勒索	39	
222:	微不足道	39	4
223:	束手无策	39	
224:	混为一谈	39	
225:	兴致勃勃	39	
226:	家喻户晓	39	4
227:	安然无恙	39	
228:	同归于尽	39	
229:	虚张声势	39	
230:	任重道远	39	
231:	昭然若揭	39	
232:	形形色色	39	
233:	力所能及	38	2
234:	适得其反	38	
235:	家常便饭	38	
236:	力不从心	38	
237:	穷兵黩武	38	
238:	始作俑者	38	
239:	源远流长	38	
240:	挺身而出	38	
241:	国计民生	38	
242:	逍遥法外	37	
243:	大起大落	37	
244:	得寸进尺	37	
245:	义无反顾	37	
246:	滥用职权	37	
247:	一帆风顺	37	4
248:	屡见不鲜	37	
249:	坚持不懈	37	
250:	嗤之以鼻	37	
251:	拳打脚踢	37	
252:	说三道四	37	
253:	接连不断	37	
254:	名列前茅	37	
255:	每况愈下	37	
256:	不屑一顾	36	
257:	同日而语	36	
258:	出谋划策	36	
259:	戒备森严	36	
260:	继往开来	36	
261:	令人发指	36	
262:	不甘示弱	36	
263:	小心谨慎	36	
264:	处心积虑	36	
265:	首屈一指	35	
266:	声势浩大	35	
267:	络绎不绝	35	
268:	势均力敌	35	
269:	寥寥无几	35	
270:	触目惊心	35	
271:	前车之鉴	35	
272:	无济于事	35	
273:	呼之欲出	35	
274:	兴风作浪	35	
275:	万不得已	35	
276:	权宜之计	35	
277:	销声匿迹	34	
278:	千丝万缕	34	
279:	不可开交	34	
280:	既成事实	34	
281:	岌岌可危	34	
282:	刻骨铭心	34	
283:	堂而皇之	34	
284:	拒之门外	34	
285:	一应俱全	34	
286:	默默无闻	34	
287:	当之无愧	34	
288:	意味深长	34	
289:	迎头赶上	34	
290:	孤注一掷	34	
291:	大相径庭	34	
292:	情不自禁	33	
293:	两败俱伤	33	
294:	声东击西	33	
295:	毁于一旦	33	
296:	高瞻远瞩	33	
297:	后顾之忧	33	
298:	得天独厚	33	
299:	指日可待	33	
300:	相辅相成	33	
301:	一反常态	33	
302:	大有人在	32	
